period;cmd;country;nb_edge_exp;nb_edge_imp;primary_value_exp;primary_value_imp;primary_value_deflated_exp;primary_value_deflated_imp;net_wgt_exp;net_wgt_imp
2001;01;China, Hong Kong SAR;14;64;137645123.0;131872341.0;137233422.73180458;135810855.8187436;0.0;0.0
2001;01;Czechia;23;31;95675172.0;34137809.0;158928857.14285713;54101123.61331221;1665329107.0;808620983.0
2001;01;Estonia;26;16;106720935.0;23363874.0;171853357.4879227;40006633.56164384;3046457421.0;510269553.0
2001;01;Finland;38;17;34920979.0;429507652.0;54057243.03405573;724296209.1062394;356483286.0;11043759853.0
2001;01;France;67;67;260287240.0;243834239.0;436723557.04697984;411187586.846543;3641515900.0;1421498300.0
2001;01;Gabon;39;1;252203449.0;0.0;597638504.7393364;0.0;1579091428.0;0.0
2001;01;Germany;61;69;342504000.0;286049000.0;548006400.0;454046031.7460317;4064547800.0;2705979400.0
2001;01;India;23;68;1082946.0;508925540.0;1883384.3478260871;886629860.6271777;0.0;0.0
2001;01;Italy;50;84;8108697.473;436215506.291;14028888.361591695;750801215.64716;12416065.0;4213826395.0
2001;01;Japan;10;60;413693.0;1873832420.0;382694.7271045329;2617084385.4748607;0.0;0.0
2001;01;Latvia;23;13;82821848.483;7841741.651000001;145556851.46397188;12252721.3296875;3397839485.0;179876210.0
2001;01;Malaysia;39;30;361415657.0;68521433.0;379638295.1680672;77425348.02259888;0.0;0.0
2001;01;New Zealand;24;10;292754039.0;748262.0;488737961.6026711;1130305.1359516617;6486583911.0;1634150.0
2001;01;Norway;14;27;15309011.511000002;120503750.05;25515019.185000006;182581439.46969697;366233543.0;2247692689.0
2001;01;Portugal;10;38;42580023.0;125829652.0;68019206.07028754;207639689.7689769;865634771.0;917028359.0
2001;01;Rep. of Korea;6;43;15183.0;535409467.0;13903.846153846154;771483381.8443804;44650.0;6083690314.0
2001;01;Russian Federation;60;18;1392984609.0;4053775.0;2385247618.150685;5412249.666221628;26642408021.0;130203564.0
2001;01;Spain;24;59;15571263.112;268754954.333;26391971.37627119;457844896.649063;267751706.0;3250919813.265
2001;01;Sweden;42;36;59938689.0;363514733.0;95140776.1904762;599859295.3795379;1146178161.0;8623154391.0
2001;01;Switzerland;33;41;129033821.652;19095443.476;186195990.83982685;28247697.449704148;2106291387.0;186846872.0
2001;01;Thailand;15;24;17456.0;98035079.0;23879.616963064298;127816269.8826597;0.0;7844111.0
2001;01;USA;101;70;1244242097.0;194330238.0;1553360920.0998752;249461152.75994864;0.0;0.0
2002;01;Austria;24;40;67539303.0;399151044.0;102643317.62917934;639665134.6153847;697287200.0;6301410700.0
2002;01;Belgium;38;51;64742154.0;96044317.0;105615259.38009788;156423969.0553746;0.0;0.0
2002;01;Canada;52;41;398105886.0;376837599.0;591539206.5378901;493889382.6998689;0.0;0.0
2002;01;China;23;79;3109992.0;2136958289.0;3720086.124401914;2845483740.346205;0.0;0.0
2002;01;China, Hong Kong SAR;13;45;84527011.0;87131389.0;86605544.05737706;93288425.05353318;0.0;0.0
2002;01;Czechia;23;38;316559346.0;118848286.0;488517509.2592592;179529132.9305136;5144192590.0;2448207741.0
2002;01;Estonia;22;11;101585371.0;27513372.0;160482418.6413902;44956490.19607843;2818628236.0;568073268.0
2002;01;Finland;40;20;34597781.0;469468593.0;50954022.09131075;765854148.4502448;352050349.0;11674530470.0
2002;01;France;59;69;208365206.0;221926354.0;329691781.6455696;353385914.0127389;2716293800.0;1335035000.0
2002;01;Gabon;41;1;194690639.0;18890.0;454884670.5607477;27337.192474674383;1224353601.0;18000.0
2002;01;Germany;63;74;312729000.0;230449000.0;474550834.59787554;352908116.3859112;4176227400.0;2026115700.0
2002;01;India;24;74;2111421.0;373954226.0;3770394.6428571427;606084645.0567261;0.0;0.0
2002;01;Italy;49;85;7295133.4;417958958.893;11862005.528455285;688565006.413509;12312613.0;3939057683.0
2002;01;Japan;12;56;687597.0;1598638400.0;663063.6451301832;2337190643.2748537;0.0;0.0
2002;01;Latvia;22;14;97179377.52;13636216.084;158015248.0;20352561.319402985;3519184039.0;315728620.0
2002;01;Malaysia;43;32;421626177.0;53581501.0;455812083.2432433;62449301.86480187;0.0;0.0
2002;01;New Zealand;23;16;353008405.0;560847.0;598319330.5084746;821152.2693997072;7528930419.0;1235413.0
2002;01;Norway;14;28;18737441.053;115207645.49000001;31704637.991539765;166725970.31837916;446322370.0;2089604082.0
2002;01;Portugal;10;35;42836786.0;118211499.0;64806030.25718608;186748023.69668245;912391656.0;735018114.0
2002;01;Rep. of Korea;11;40;19076.0;597336872.0;18202.290076335878;888894154.7619047;68700.0;6547353793.0
2002;01;Russian Federation;63;20;1648161513.0;5183099.0;2932671731.3167257;6994735.4925775975;30872648254.0;156446638.0
2002;01;Spain;23;53;12104034.142;222687555.582;19397490.612179488;361505772.0487013;137907045.0;2559522930.0
2002;01;Sweden;50;33;79413026.0;397645769.0;118350262.29508197;616505068.2170542;1507099350.0;8976169544.0
2002;01;Switzerland;28;35;97370361.957;20787682.216;132838147.28103684;29402662.25742574;1300227821.0;273101290.0
2002;01;USA;107;75;1201287756.0;225945557.0;1514864761.664565;297296785.5263158;0.0;0.0
2002;01;Ukraine;41;9;64444400.0;4253310.0;118901107.0110701;7065299.003322259;1192793338.0;73045124.0
2003;01;Austria;33;42;72930074.0;470350348.0;93861099.0990991;631342748.9932885;614917357.0;6358906300.0
2003;01;Belgium;43;47;79487119.0;112654676.0;109335789.54607977;155385760.0;0.0;0.0
2003;01;Canada;48;35;397535326.0;377794748.0;533604464.4295302;475812025.1889168;0.0;0.0
2003;01;China;23;73;2791943.0;2442889293.0;3269254.0983606554;3210104195.7950068;0.0;0.0
2003;01;Czechia;21;42;174925407.0;41922647.0;225419338.9175258;53404645.85987262;2485837471.0;514117135.0
2003;01;Estonia;22;17;117826553.0;50457604.0;158582170.92866758;69789217.15076073;2717970126.0;822972817.0
2003;01;Finland;36;20;41839099.0;580111788.0;53916364.69072165;801259375.6906077;376401061.0;11935806648.0
2003;01;France;61;61;238178902.0;268120506.0;319703224.1610738;358449874.33155084;2730020400.0;1523485005.0
2003;01;Gabon;34;0;124318300.0;0.0;252679471.54471543;0.0;629895029.0;0.0
2003;01;Germany;67;73;307063000.0;243953000.0;393670512.82051283;317647135.4166667;3571447300.0;1894279200.0
2003;01;India;31;76;2893654.0;577698438.0;4571333.333333333;899841803.7383177;0.0;0.0
2003;01;Italy;49;75;5245397.926;471957606.676;7107585.2655826565;656408354.208623;8239067.0;3761225165.0
2003;01;Japan;11;56;1277078.0;1654374850.0;1187979.534883721;2253916689.3732967;0.0;0.0
2003;01;Latvia;21;16;116274285.39099999;22942216.565;164694455.2280453;29679452.21862872;3310815709.0;382319244.0
2003;01;Malaysia;39;30;469019623.0;28291253.0;492667671.2184873;32481346.72789897;4809481.0;405521.0
2003;01;New Zealand;23;16;350078562.0;824869.0;529619609.6822996;1088217.678100264;7205685859.0;1808827.0
2003;01;Norway;11;21;14500344.724000001;136429672.46;21418529.87296898;174685880.23047376;325600700.0;2166587380.0
2003;01;Portugal;11;34;64324926.0;104882010.0;83322443.00518134;138916569.53642383;1199209912.0;394122068.0
2003;01;Rep. of Korea;8;42;52087.0;609901681.0;48407.99256505576;849445238.1615599;68313.0;6124376455.0
2003;01;Russian Federation;61;13;1800471440.0;5122319.0;2848847215.189873;6635128.238341969;31433515153.0;138348060.0
2003;01;Spain;19;61;14398375.851;255047484.676;19300771.918230563;344658763.07567567;144647375.23;2430367324.25
2003;01;Sweden;44;37;87790857.0;450877900.0;111835486.62420382;592480814.7174771;1291438000.0;8363877000.0
2003;01;Switzerland;32;35;105517170.24400002;20738929.38;125020343.89099525;25322258.095238093;1140016845.004;267205639.0
2003;01;USA;105;73;1219619956.0;204019669.0;1515055845.9627328;260894717.3913043;0.0;0.0
2003;01;Ukraine;44;12;86839780.0;6475300.0;144492146.42262894;9679073.243647233;1548518224.0;96810565.0
2003;01;United Kingdom;40;65;19473663.0;125390572.0;25323358.9076723;159733212.7388535;69914401.0;509508261.0
2003;01;Viet Nam;16;42;2008915.0;114264556.0;4058414.141414141;177154350.3875969;0.0;0.0
2004;01;Austria;31;39;86646487.0;556522773.0;100285285.87962963;664108321.0023866;678016314.0;7092731700.0
2004;01;Belgium;42;47;94748064.0;141196179.0;116541284.13284133;172190462.19512194;0.0;0.0
2004;01;Canada;53;32;393780276.0;410345261.0;475006364.2943305;491431450.2994012;0.0;0.0
2004;01;China;29;71;1815113.0;2802320969.0;1947546.1373390555;3300731412.2497053;0.0;0.0
2004;01;Czechia;19;38;167271141.0;49250948.0;188793612.86681715;56480444.95412844;2297101299.0;498438694.0
2004;01;Estonia;17;18;109644695.44000001;88203867.5;134368499.3137255;109163202.35148516;2110137719.0;1238553818.58
2004;01;Finland;34;20;48391789.0;675159104.0;56664858.31381732;811489307.6923076;474576764.0;12015746216.0
2004;01;France;58;64;259896891.0;279745787.0;312376070.9134615;333030698.8095238;2602016900.0;1455229200.0
2004;01;Gabon;39;0;214556962.312;0.0;346618679.0177706;0.0;1002020430.0;0.0
2004;01;Germany;71;72;362340000.0;234033000.0;422307692.30769235;272765734.26573426;4047217600.0;1484973800.0
2004;01;India;31;85;1627889.0;801125941.0;2292801.408450704;1059690398.1481483;0.0;0.0
2004;01;Italy;46;73;7198200.977;521024378.594;8672531.297590362;636949118.0855746;13149453.0;3912338370.0
2004;01;Japan;16;55;1250547.0;1958554767.0;1098898.9455184534;2391397761.904762;0.0;0.0
2004;01;Latvia;23;13;174590320.387;46905471.592999995;211368426.61864406;53180806.79478457;3549798104.0;656395480.0
2004;01;Malaysia;47;29;489480449.0;30823015.0;488503442.11576843;33503277.173913043;0.0;0.0
2004;01;New Zealand;22;15;289953934.0;642148.0;380018262.1231979;779305.8252427183;4897705452.0;1278914.0
2004;01;Norway;19;21;14774003.21;168467806.62;17973239.914841846;197269094.40281028;287341078.0;2332860802.0
2004;01;Rep. of Korea;10;37;265237.0;703777797.0;223263.46801346805;856177368.6131386;647496.0;5591433132.0
2004;01;Russian Federation;53;17;2332315723.0;4254107.0;3021134356.2176166;5144022.974607013;34610916299.0;95006378.0
