period;cmd;tot_nb_nodes;nb_main_exp;nb_main_imp;nb_balanced;tot_net_wgt;tot_primary_value;src_main_exp_net_wgt;src_main_exp_primary_value;src_main_imp_net_wgt;src_main_imp_primary_value;src_balanced_net_wgt;src_balanced_primary_value;tgt_main_exp_net_wgt;tgt_main_exp_primary_value;tgt_main_imp_net_wgt;tgt_main_imp_primary_value;tgt_balanced_net_wgt;tgt_balanced_primary_value
2005;05;224;52;126;46;52371519024.81747;31927588471.965485;35863548029.557495;22507015902.55249;2560332811.447;3211475027.1125;13947638183.813;6209097542.300497;1824730623.2799997;1408021486.4264998;38154735519.216484;24555029233.002502;12392052882.321;5964537752.5365
2006;05;228;53;127;48;47834736035.882965;33732204727.49401;31826008617.585506;22725136753.19099;941539543.6015;1175275407.058999;15067187874.696012;9831792567.24401;1643494828.2175002;1385896148.7370002;30676012185.412495;16653503402.456017;15515229022.253012;15692805176.301018
2007;05;226;49;132;45;66786265286.74148;36694514891.59901;45626692642.72098;23655960195.16401;1634851079.6224997;1394684856.5449998;19524721564.39799;11643869839.889992;2297302472.7759995;1546130966.3035002;36277171180.74099;19759925583.342503;28211791633.224503;15388458341.953005
2008;05;224;47;129;48;56653201564.017456;32063366568.464516;36332747906.776024;19810453508.375515;1713176918.0924995;1369400616.4874995;18607276739.149014;10883512443.601511;1963156596.884;1361076741.943999;33208885904.855984;17907229627.683495;21481159062.27751;12795060198.836988
2009;05;226;48;128;50;47555445669.66198;24421494931.258003;31062178856.957478;15270671318.496002;1331616937.0749998;980375553.7999998;15161649875.629492;8170448058.961998;1654484457.4755;1004580093.0054994;29760445777.652992;14289935329.426502;16140515434.5335;9126979508.826
2010;05;224;46;128;50;60363436089.63147;29554440593.49658;40323934549.39351;18594034961.72749;1361571168.1569998;1081421482.0204997;18677930372.081;9878984149.748499;2079674903.2509995;1253073609.1115003;37746774583.94647;17580559843.5455;20536986602.434006;10720807140.839508
2011;05;225;49;131;45;66756676678.05249;32818583271.223534;44026006233.70698;20559200536.38499;2490178015.7530007;1279442133.9015;20240492428.592514;10979940600.936996;1969543543.0140007;1218485411.6610005;43996061366.362;20531172357.658966;20791071768.67651;11068925501.903503
2012;05;228;50;132;46;63196811268.03499;32173300620.954437;42811271303.43;20841978200.394493;1381975227.5740001;1102611652.2675;19003564737.031;10228710768.292503;2056179512.3634996;1283595137.115001;40145310140.49595;19337218830.89647;20995321615.175514;11552486652.943005
2013;05;229;48;138;43;71623196749.26161;35986755159.78955;49137409516.394455;23536962642.706036;1751520420.2035003;1182373637.2799985;20734266812.663498;11267418879.803497;2282214379.0594997;1334134641.3029997;45283258319.62299;21747946534.93051;24057724050.57899;12904673983.55598
2014;05;229;54;134;41;80214606998.53246;39141203822.52562;55108325707.205956;25589264978.765034;3558307122.4464984;1523994770.162501;21547974168.880016;12027944073.598;2881819404.902501;1560827577.3939986;53117807877.633484;24680984266.38401;24214979715.99651;12899391978.747486
2015;05;226;50;134;42;69368911799.41748;31417438494.773983;46752950715.62553;19983280515.472492;2841297621.7525;1193938855.130999;19774663462.03947;10240219124.170511;2974218037.415;1534225346.8229997;47215162592.64453;19840396721.190502;19179531169.357998;10042816426.760502
2016;05;227;51;130;46;72372295894.73486;32232033082.342472;48745334338.74748;20640956654.100964;3085957448.185504;1130664585.6814997;20541004107.802002;10460411842.560005;3824954848.624002;1595928134.4329998;45433986487.91593;19949630453.142498;23113354558.19502;10686474494.767004
2017;05;227;54;132;41;69578060570.84943;29849322757.598995;46357792810.7305;18382754180.93899;3512173782.8385005;1125142554.596998;19708093977.280514;10341426022.063017;3103816195.527499;1360479775.1895013;48396831096.118;20244164647.647976;18077413279.204002;8244678334.76151
