period;cmd;weight;tot_exp;tot_imp;hhi_exp;hhi_imp;shannon_exp;shannon_imp
2018;01;net_wgt;63496396493.126;71265949944.501;0.18769103729094963;0.5409146520337725;2.2028777223065035;1.119233957830003
2019;01;net_wgt;80479149265.253;72277431314.817;0.15269808333520477;0.4882963661258877;2.310701325486542;1.319988249565931
2020;01;net_wgt;79442724475.074;72728106925.809;0.15089538395921584;0.46973970846897467;2.2919649628654764;1.3035032882649396
2021;01;net_wgt;77137187022.189;80231124979.662;0.14779051023670714;0.45427393625785073;2.292163041821114;1.3459815999368785
2022;01;net_wgt;55040004598.52801;59152876576.788;0.16258392263036284;0.4080315144573288;2.2600482816773413;1.4732530405663566
2023;01;net_wgt;43376799824.964;49369358841.005;0.18629441841503716;0.43634992277607954;2.1893151102224717;1.4009562521454717
1996;05;net_wgt;48168569738.0;48186324065.0;0.4155249322409756;0.3300251456434167;1.5315666279519116;1.818772018886495
1997;05;net_wgt;48812739551.0;51237297075.0;0.3797648715510215;0.29582214648057215;1.650158273619624;1.950735126984505
1998;05;net_wgt;47883488043.0;50532600680.0;0.38916626098486984;0.3153665434702163;1.639836207562732;1.9599385536281237
1999;05;net_wgt;139699832268.0;52158282913.0;0.44781565969191267;0.31974181906728477;1.2781528421300885;1.8812732344244338
2000;05;net_wgt;16788609604.997;13109885878.746;0.20793149742662154;0.2508041579525508;2.1203688823659537;2.3167868378950014
2001;05;net_wgt;17451137157.822;13622064752.092;0.19010607414678232;0.21007954463047945;2.227516673203134;2.5122805052193375
2002;05;net_wgt;19935401076.656002;13593463775.01;0.19578469092091777;0.22773599568732428;2.1959716590232334;2.463336283669649
2003;05;net_wgt;22984980722.954;14279263909.548;0.18224082658738164;0.25309555279249957;2.2257872723541574;2.3584620995196333
2004;05;net_wgt;26597364261.48;18744307822.904;0.17893172766723947;0.1948263581310951;2.2741312410445462;2.5280821149445045
2005;05;net_wgt;28199367894.059002;23615652572.885998;0.19594088137748938;0.16590891935025096;2.2250750343189805;2.5892799239853397
2006;05;net_wgt;27955698545.129;15734715815.586;0.21359387856187487;0.1838153134658998;2.1434366558710773;2.67401887644664
2007;05;net_wgt;48559749367.481;40721122181.898;0.1859622395358149;0.15657708279743826;2.2457885658669814;2.628587052217897
2008;05;net_wgt;39996382344.817;34249031512.446;0.15434626493059328;0.10490324839529229;2.4166962589144974;2.9533109465221212
2009;05;net_wgt;34946352487.979004;26345212638.206;0.16772817623816041;0.08762009192154782;2.3134920958639587;3.0289272239036347
2010;05;net_wgt;44185142504.812;40660247000.789;0.16615177786987187;0.12039872363564103;2.3197360117097827;2.7751466319335503
2011;05;net_wgt;47984659864.92;45439688173.675;0.16672959448790772;0.1422280602037237;2.2878053880922744;2.668390353736484
2012;05;net_wgt;47833661928.676;44557162815.61;0.18037729303857925;0.14052282896574023;2.209572616570687;2.668118593821526
2013;05;net_wgt;57323547697.235;49663361144.656;0.18434413035865513;0.15792260144743325;2.1965432374878775;2.5906555536326312
2014;05;net_wgt;63111633163.572;53573281188.086;0.17270755067099106;0.1603542406513957;2.2719647398919784;2.5333400591675472
2015;05;net_wgt;47525268596.228;53376662193.129;0.18944235798555303;0.15634117496589914;2.280301875207282;2.6221439326228104
2016;05;net_wgt;51175604432.413;54211390999.327995;0.1932856280835786;0.13772164831780223;2.2724946661361307;2.6673572930865896
2017;05;net_wgt;50620840645.789;47687198197.571;0.22813406760769184;0.30679673220413256;2.1112100152469173;2.0298705913810853
2018;05;net_wgt;67825182269.944;49100479612.147;0.19072361513323258;0.28298633759625286;2.1445601498184095;2.165628213604429
